epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
83,50936.3,0.67331,0.58798,1.12404,0.92976,0.88719,0.94087,0.75681,0.7514,0.50973,1.16963,9.67211e-05,9.67211e-05,9.67211e-05
84,51310.4,0.67342,0.5902,1.1242,0.92988,0.88653,0.94146,0.75749,0.74964,0.50713,1.16655,8.76942e-05,8.76942e-05,8.76942e-05
85,51663.7,0.65538,0.57339,1.11499,0.93034,0.89125,0.94237,0.75765,0.74845,0.50206,1.1681,7.91345e-05,7.91345e-05,7.91345e-05
86,52011.7,0.66234,0.56791,1.12057,0.93454,0.88684,0.94372,0.75972,0.74776,0.49742,1.16899,7.10504e-05,7.10504e-05,7.10504e-05
87,52427.8,0.65656,0.57839,1.11396,0.92144,0.89519,0.94303,0.75906,0.74785,0.50032,1.16489,6.34499e-05,6.34499e-05,6.34499e-05
88,52806.6,0.6623,0.57195,1.12258,0.92711,0.89478,0.94303,0.7599,0.74476,0.49941,1.1625,5.63404e-05,5.63404e-05,5.63404e-05
89,53225.6,0.66379,0.58009,1.11952,0.92174,0.89533,0.94242,0.76038,0.74439,0.49575,1.16402,4.97291e-05,4.97291e-05,4.97291e-05
90,53639.8,0.66018,0.57457,1.11685,0.92976,0.89132,0.94218,0.75983,0.74633,0.49764,1.16395,4.36223e-05,4.36223e-05,4.36223e-05
91,54047.6,0.61852,0.46643,1.10566,0.92479,0.8947,0.93983,0.75492,0.74724,0.49772,1.16786,3.80262e-05,3.80262e-05,3.80262e-05
92,54450,0.61498,0.4542,1.10131,0.9284,0.8921,0.94128,0.75537,0.74705,0.49328,1.16644,3.29463e-05,3.29463e-05,3.29463e-05
93,54841.2,0.61366,0.44654,1.1011,0.92707,0.8917,0.94322,0.75524,0.74587,0.49086,1.16445,2.83875e-05,2.83875e-05,2.83875e-05
94,55227.1,0.61397,0.44734,1.09874,0.93026,0.88756,0.94304,0.75563,0.74668,0.48907,1.16481,2.43545e-05,2.43545e-05,2.43545e-05
95,55634.8,0.60421,0.44173,1.09188,0.93317,0.88993,0.94486,0.75773,0.74391,0.48931,1.16225,2.0851e-05,2.0851e-05,2.0851e-05
96,56038.7,0.61231,0.44627,1.10059,0.93363,0.891,0.94453,0.75796,0.74233,0.48817,1.15953,1.78807e-05,1.78807e-05,1.78807e-05
97,56457.4,0.60954,0.4473,1.09629,0.93275,0.88763,0.94352,0.75822,0.74146,0.48689,1.15825,1.54465e-05,1.54465e-05,1.54465e-05
98,56861.3,0.59835,0.44068,1.0843,0.93181,0.8901,0.94465,0.7591,0.74194,0.48709,1.15885,1.35507e-05,1.35507e-05,1.35507e-05
99,57326.1,0.60569,0.43812,1.09184,0.93297,0.89141,0.94584,0.75946,0.73945,0.48698,1.15647,1.21952e-05,1.21952e-05,1.21952e-05
100,57799.1,0.6049,0.43736,1.09345,0.93557,0.89141,0.9464,0.76058,0.73941,0.48689,1.15629,1.13814e-05,1.13814e-05,1.13814e-05
