epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
70,14160.3,0.69206,0.59398,1.12728,0.88215,0.88475,0.92449,0.73112,0.79689,0.54593,1.18496,0.000554691,0.000554691,0.000554691
71,14366,0.63833,0.4614,1.1062,0.88718,0.87841,0.92395,0.73152,0.79473,0.54524,1.18446,0.000476796,0.000476796,0.000476796
72,14561.6,0.6327,0.44786,1.10314,0.89001,0.87662,0.92468,0.73132,0.79396,0.54336,1.18257,0.000405953,0.000405953,0.000405953
73,14757.5,0.62356,0.44458,1.09494,0.88032,0.88916,0.92601,0.7309,0.7912,0.54241,1.17862,0.00034227,0.00034227,0.00034227
74,14952.9,0.62234,0.44143,1.09858,0.8796,0.88862,0.92611,0.73186,0.79048,0.53978,1.17796,0.000285847,0.000285847,0.000285847
75,15149.7,0.6163,0.43516,1.08713,0.8803,0.89179,0.92669,0.73302,0.79099,0.53754,1.17928,0.000236769,0.000236769,0.000236769
76,15347.2,0.6146,0.43664,1.08796,0.88174,0.88847,0.92671,0.73369,0.78973,0.53571,1.17846,0.000195113,0.000195113,0.000195113
77,15546.8,0.61248,0.43086,1.08955,0.88214,0.88804,0.92602,0.73406,0.78892,0.53438,1.17802,0.000160943,0.000160943,0.000160943
78,15748.7,0.61442,0.43,1.08973,0.88143,0.88988,0.92722,0.73472,0.78743,0.53377,1.17594,0.000134311,0.000134311,0.000134311
79,15949.8,0.60993,0.42756,1.08726,0.88352,0.88808,0.92772,0.73542,0.7874,0.53274,1.17577,0.000115259,0.000115259,0.000115259
80,16149.9,0.61141,0.42761,1.08698,0.88442,0.88814,0.92739,0.73586,0.78717,0.53218,1.17605,0.000103816,0.000103816,0.000103816
